,Original,Summary,Sentiment
228,"Saya lelah dg banyaknya seller yg tidak bertanggung jawab dan sptnya tidak ada langkah perbaikan dan pembinaan thd seller dr pihak Tokopedia.

Melakukan kesalahan adalah hal yg wajar dan bisa dimaklumi, namun klu semua kesalahan cukup diselesaikan hanya dg permintaan maaf, seller tidak akan pernah menjadi lebih baik dan berhati2 di kemudian hari.
Ujung2nya, yg tersisa hanya kekecewaan dan rasa dongkol di hati pelanggan.","Ujung2nya, yg tersisa hanya kekecewaan dan rasa dongkol di hati pelanggan.",-1
229,membantu cari barang impian udh langganan silver,membantu cari barang impian udh langganan silver,1
230,Pembayaran mudah dan aman.,Pembayaran mudah dan aman.,1
231,Selalu menyenangkan berbelanja di Tokopedia,Selalu menyenangkan berbelanja di Tokopedia,1
232,Senang sekali bisa mengunakan tokopedia versi terbaru ini,Senang sekali bisa mengunakan tokopedia versi terbaru ini,1
233,Selalu senantiasa siap memenuhi kebutuhan rumah tangga,Selalu senantiasa siap memenuhi kebutuhan rumah tangga,1
234,Mudah aksesnya sangat merekomendasi untuk pengguna yang males belanja keluar,Mudah aksesnya sangat merekomendasi untuk pengguna yang males belanja keluar,1
235,Semua mudah semua bisa semua ada,Semua mudah semua bisa semua ada,1
236,Bintang 4 soalnya saya kena block gabisa pake voucher lg,Bintang 4 soalnya saya kena block gabisa pake voucher lg,-1
237,Kualitas pelayanan yg sdh bagus agar dipertahankan dan ditingkatkan.,Kualitas pelayanan yg sdh bagus agar dipertahankan dan ditingkatkan.,1
238,Pokoknya selama pandemi ini semua kebutuhan bs dibeli di toped . Makyus pokoknya,Makyus pokoknya,1
239,"Sudah lama menggunakan tokopedia semenjak awal launching. Sangat puas, dan dalam pusat penyelesaian selalu diselesaikan dengan adil. Review dari pembeli yang sesuai dengan bukti dan kenyataan, kalau tokonya servicenya jelek ya siap2 ga bakalan laku jual di toped","Sangat puas, dan dalam pusat penyelesaian selalu diselesaikan dengan adil.",1
240,Pengiriman sangat cepat !! Kuerennn,Kuerennn,1
241,Keren deh pokoknya,Keren deh pokoknya,1
242,Recommended.. All u can do at here.. Tolong untuk pembayaran Samsatnya diperbanyak kerjasamanya.. khususnya utk wilayah Kaltim dan Kalsel🙏,Recommended.. All u can do at here.. Tolong untuk pembayaran Samsatnya diperbanyak kerjasamanya.. khususnya utk wilayah Kaltim dan Kalsel🙏,1
243,mudah dan menyenangkan,mudah dan menyenangkan,1
244,"Selalu senang belanja di tokped, pengiriman cepat & dpt cashbacknya lebih sedikit huhu","Selalu senang belanja di tokped, pengiriman cepat & dpt cashbacknya lebih sedikit huhu",-1
245,Transfer ke rekening kita sendiri di Tokopedia tanpa biaya alias gratis dan cepat banget prosesnya. Uang langsung masuk ke rekening.,Uang langsung masuk ke rekening.,1
246,"Terpercaya, banyakin diskonya","Terpercaya, banyakin diskonya",1
247,Lebih mudah pakai aplikasi ini karena sudah terbiasa,Lebih mudah pakai aplikasi ini karena sudah terbiasa,1
248,"Respon cepat, toped sering free ongkir, makin suka belanja deh, trims ya:)…","Respon cepat, toped sering free ongkir, makin suka belanja deh, trims ya:)…",1
249,"time flies, biaya terus","time flies, biaya terus",1
250,Kasih bintang 4 dulu,Kasih bintang 4 dulu,1
251,Senang berbelanja di Tokped.,Senang berbelanja di Tokped.,1
252,"Tokopedia sangat membantu untuk urusan belanja online. Mudah, banyak diskon, terpercaya.","Mudah, banyak diskon, terpercaya.",1
253,aplikasi keren,aplikasi keren,1
254,Vendor dpt dipercaya produk dan pelayanannya.,Vendor dpt dipercaya produk dan pelayanannya.,1
255,Cukup puas selama menggunaka tokopedia dan 80% belanja online di tokopedia daripada apps lain,Cukup puas selama menggunaka tokopedia dan 80% belanja online di tokopedia daripada apps lain,1
256,Memuaskan,Memuaskan,1
257,Barang lengkap dan harga menarik,Barang lengkap dan harga menarik,1
258,"Better ini sih, promonya ada terus di banding oren","Better ini sih, promonya ada terus di banding oren",1
259,Mudah dan cepat thanks,Mudah dan cepat thanks,1
260,Lancar banget,Lancar banget,1
261,gak pernah mengecewakan belanja disini,gak pernah mengecewakan belanja disini,1
262,"Belanja jauh lebih mudah, nyaman dan tidak ribet, bagus sekali","Belanja jauh lebih mudah, nyaman dan tidak ribet, bagus sekali",1
263,"Seneng belanja di toped,bisa bayar pakai paylater, gratis ongkir lagi.. kurang baik apa coba nih aplikasi?? Yuk download",Yuk download,1
264,"Barang apa aja kayanya ada ditokopedia, harga juga banyak yg lebih murah drpd harga ditoko2 sebelah, apalagi dng adanya program bebas ongkir. mdh2an tetep mempertahankan prestasi ini. Tokopedia emang TOP..!!",mdh2an tetep mempertahankan prestasi ini.,1
265,"Asyek Dapat promo,,, sering2 adakan promo yaw 🥰😇🙏","Asyek Dapat promo,,, sering2 adakan promo yaw 🥰😇🙏",1
266,Bagus banyak membantu,Bagus banyak membantu,1
267,Suka dgn tokopedia bnyk barang bagus dan berkualitas,Suka dgn tokopedia bnyk barang bagus dan berkualitas,1
268,Cepat dan terpercaya,Cepat dan terpercaya,1
269,Mantap… tidak ada kendala…😀,Mantap… tidak ada kendala…😀,1
270,"Mudah penggunaannya, engga ribed di mata, respon juga kilat.","Mudah penggunaannya, engga ribed di mata, respon juga kilat.",1
271,Tiap Checkout kena biaya layanan... Kalauu truz2 an lumayaan jugaa tuu...,Tiap Checkout kena biaya layanan... Kalauu truz2 an lumayaan jugaa tuu...,-1
272,Lebih bagus lgi penambahan fitur chat live. Sehingga mengetahui pelapak yg online bisa cepat dalam balas pesan,Sehingga mengetahui pelapak yg online bisa cepat dalam balas pesan,0
273,Wah isi eMoney begitu gampang dan dapat cash back lagi. Memang top deh Toped dan OVOnya. 👍👍👍,Memang top deh Toped dan OVOnya.,1
274,Memudahkan untuk transaksi,Memudahkan untuk transaksi,1
275,Aplikasi cukup bagus dan oke.,Aplikasi cukup bagus dan oke.,1
276,Serba ada dan dapat dicicil,Serba ada dan dapat dicicil,1
277,"Tokoped sdh baik dan terpercaya, mohon jaga dan tingkatkan terus kualitasnya, tambahkan dg toko dan produk yg semakin kreatif serta berkualitas.","Tokoped sdh baik dan terpercaya, mohon jaga dan tingkatkan terus kualitasnya, tambahkan dg toko dan produk yg semakin kreatif serta berkualitas.",1
278,"suka banget sama aplikasi ini, sering dapet promo pulak😆","suka banget sama aplikasi ini, sering dapet promo pulak😆",1
279,Apps yg bagus dan sangat berguna buat kebutuhan sehari2... thanks,Apps yg bagus dan sangat berguna buat kebutuhan sehari2... thanks,1
280,sudah tidak bisa gratis ongkir otomatis. harus pkai voucher,harus pkai voucher,-1
281,Penjualnya omong kosong,Penjualnya omong kosong,-1
282,sangat membantu dan kereen.. alhamdulilah... dapat bonus banyak🙏🙏,sangat membantu dan kereen.. alhamdulilah... dapat bonus banyak🙏🙏,1
283,Pelayanan topedia sngat ok,Pelayanan topedia sngat ok,1
284,Tokopedia membuat hidup lebih mudah,Tokopedia membuat hidup lebih mudah,1
285,banyak nanya rating lu kaya programmer baru lulus,banyak nanya rating lu kaya programmer baru lulus,-1
286,Selalu puas belanja di Tokopedia,Selalu puas belanja di Tokopedia,1
287,Paketannya Rapi,Paketannya Rapi,1
288,Aplikasi yg sangat memuaskan,Aplikasi yg sangat memuaskan,1
289,Sementara bermanfaat. Terima kasih,Terima kasih,1
290,Apalagi saat pandemi seperti sekarang,Apalagi saat pandemi seperti sekarang,1
291,"Belanja primer, sekunder dan tersier selalu nyaman di Toped 👌🏻","Belanja primer, sekunder dan tersier selalu nyaman di Toped 👌🏻",1
292,"Gratis ongkirnya gak ada, tambah jasa aplikasi lah trus jasa layanan apalah itu.","Gratis ongkirnya gak ada, tambah jasa aplikasi lah trus jasa layanan apalah itu.",-1
293,Apk membantu banget!,Apk membantu banget!,1
294,Suka,Suka,1
295,Sekarang biaya layanan aplikasi menjadi Rp 2rb,Sekarang biaya layanan aplikasi menjadi Rp 2rb,0
296,sampai saat ini belum pernah nemu kendala semoga seterusnya seperti ini,sampai saat ini belum pernah nemu kendala semoga seterusnya seperti ini,1
297,"Banyak cashback dan ongkir gratis, jadi suka banget belanja disini","Banyak cashback dan ongkir gratis, jadi suka banget belanja disini",1
298,Sangat tau kebutuhan,Sangat tau kebutuhan,1
299,Ok banget,Ok banget,1
300,"Aplikasi yang sangat membantu, semakin dipermudah","Aplikasi yang sangat membantu, semakin dipermudah",1
301,bagus dan sangat memudahkan dalam belanja,bagus dan sangat memudahkan dalam belanja,1
302,Tidak ada pilihan login dengan akun google,Tidak ada pilihan login dengan akun google,0
303,"Pelayanan cepat dan memuaskan, sangat recommended","Pelayanan cepat dan memuaskan, sangat recommended",1
304,Makasih tokopedia,Makasih tokopedia,1
305,Memudahkan sekali,Memudahkan sekali,1
306,"Aplikasi keren, berguna banget","Aplikasi keren, berguna banget",1
307,Proses cepat dan murah terbaik,Proses cepat dan murah terbaik,1
308,Mempermudah segala urusanku,Mempermudah segala urusanku,1
309,Biaya admin naik terus.,Biaya admin naik terus.,-1
310,"No. 1 shoping online, Safe and helpfull application.. thank you so much Perlu diperbaiki pembayaran masih sering mengalami kendala","1 shoping online, Safe and helpfull application.. thank you so much Perlu diperbaiki pembayaran masih sering mengalami kendala",-1
311,"Puas banget belanja di tokped, pencarian mudah dan moda pembayaran banyak","Puas banget belanja di tokped, pencarian mudah dan moda pembayaran banyak",1
312,Banyak gratis ongkirnya,Banyak gratis ongkirnya,1
313,"Marketplace yang lengkap, menyenangkan dan aman..","Marketplace yang lengkap, menyenangkan dan aman..",1
314,"Saya sudah Diamond member TOKOPEDIA.. Saran saya selalu belanja di TOKOPEDIA ! Bebas masalah di Tokopedia.. Sy kena masalah di tokosebelah.. merchant penipu dibelain, Jual barang tidak sesuai description.. Komplain malah seller dibelain, jd korban deh... ga ada waktu buat lapor ribet banget.. Kita mau belanja tenang.. aman.. ya di Tokopedia.. Lancar dan cepat speednya.. sudah saya banding2kan dan yg penting aman.. Tokopedia paling mantul ..👍👍👍","Bebas masalah di Tokopedia.. Sy kena masalah di tokosebelah.. merchant penipu dibelain, Jual barang tidak sesuai description.. Komplain malah seller dibelain, jd korban deh... ga ada waktu buat lapor ribet banget.. Kita mau belanja tenang.. aman.. ya di Tokopedia.. Lancar dan cepat speednya.. sudah saya banding2kan dan yg penting aman.. Tokopedia paling mantul ..👍👍👍",1
315,Terima kasih sudah banyak membantu saya belanja selama masa PSBB,Terima kasih sudah banyak membantu saya belanja selama masa PSBB,1
316,"Harga sesuai dan terjamin aman sih, pengalaman gapeenah telat kirim2 paket","Harga sesuai dan terjamin aman sih, pengalaman gapeenah telat kirim2 paket",1
317,Tak Pernah berpaling dari tokopedia,Tak Pernah berpaling dari tokopedia,1
318,"Apps ini memiliki fitur lengkap, mudah dimengerti dan tersambung dengan apps kurir lainnya yg membantu pembeli dan penjual.","Apps ini memiliki fitur lengkap, mudah dimengerti dan tersambung dengan apps kurir lainnya yg membantu pembeli dan penjual.",1
319,"Mudah, cepat dan Aman","Mudah, cepat dan Aman",1
320,"Pemesan, pembayaran, pengiriman semua serba mudah","Pemesan, pembayaran, pengiriman semua serba mudah",1
321,"Apps bagoes, aman bila ada masalah komplain sebagai pembeli ataupun penjual. Kurang puas promonya mesti dicermati kadang malah bayar lebih, seperti yg dipaksa daftar cicilan untuk dapat discount dihitung malah boncos mending ga pakai promonya.","Kurang puas promonya mesti dicermati kadang malah bayar lebih, seperti yg dipaksa daftar cicilan untuk dapat discount dihitung malah boncos mending ga pakai promonya.",-1
322,Banyak bonusnya utk bayar tagihan bulanan,Banyak bonusnya utk bayar tagihan bulanan,1
323,Semoga tokopedia pelayanannya lebih baik lagi,Semoga tokopedia pelayanannya lebih baik lagi,1
324,Aplikasi yg menarik dan bagus....perlu dipertahankan bahkan di tingkatkan,Aplikasi yg menarik dan bagus....perlu dipertahankan bahkan di tingkatkan,1
325,"Pajaknya 1% lebih dari total harga, agak memberatkan","Pajaknya 1% lebih dari total harga, agak memberatkan",-1
326,Baguslah pokoknya liat aja daftar belanja sy. Hrsnya sy dikasih merchsndise,Hrsnya sy dikasih merchsndise,1
327,sangat bermanfaat,sangat bermanfaat,1
328,Semenjak gabung GOTO bikin saham IPO tokopedia gak jelas banget kasih naikin harga segala udah kena tarif jadi kangen jaman dulu masih banyak bebas ongkir dapat cashback terus gak kena biaya jasa apalah itu. Mending pisah perusahaan aja lah berdiri sendiri daripada gabung malah jadi nyusahin gini skrg,Mending pisah perusahaan aja lah berdiri sendiri daripada gabung malah jadi nyusahin gini skrg,-1
329,"banyak keuntungan belanja di tokopedia seperti cash back, tracking belanjanya bisa di cek mulai dari transfer sampai ke pembeli.","banyak keuntungan belanja di tokopedia seperti cash back, tracking belanjanya bisa di cek mulai dari transfer sampai ke pembeli.",1
330,Tokopedia banyak pilihan reliable,Tokopedia banyak pilihan reliable,1
331,belanja sangat dimudahkan 👍,belanja sangat dimudahkan 👍,1
332,Mudah n simple,Mudah n simple,1
333,"Fitur2 nya OK dan memuaskan, thankyou Tokopedia","Fitur2 nya OK dan memuaskan, thankyou Tokopedia",1
334,"Proses prosedur pembelian yg jelas, app yg mudah dipakai","Proses prosedur pembelian yg jelas, app yg mudah dipakai",1
335,Udah lah bagus banget,Udah lah bagus banget,1
336,"Terus terus an minta pin sambil gak bisa swipe right. Maksa banget harus buat PIN. Maksanya OK, cm jelek nya gak ada swipe right.","Maksanya OK, cm jelek nya gak ada swipe right.",-1
337,Aplikasi ngga ribet. Tahapan proses jelas Aman terpercaya. Ngga khawatir kalo beli barang,Ngga khawatir kalo beli barang,1
338,Mudah dan banyak bonus,Mudah dan banyak bonus,1
339,Selalu yg terbaik,Selalu yg terbaik,1
340,Fitur & layanan yg lengkap. So helpful,So helpful,1
341,Selama ini lancar jaya...,Selama ini lancar jaya...,1
342,Asyik banget pakai tokopedia,Asyik banget pakai tokopedia,1
343,"Tokopedia favoritku sejak dulu. Harga ok, layanan ok. Top","Harga ok, layanan ok. Top",1
344,Sebenarnya klo mau pake jasa expres same day suka banget sm aplikasi ini. Hanya saja untuk mencari barangnya agak kurang variasi dan harga.,Hanya saja untuk mencari barangnya agak kurang variasi dan harga.,-1
345,Sangat membantu untuk E-Money,Sangat membantu untuk E-Money,1
346,promo jarang kepake😅,promo jarang kepake😅,-1
347,Sangat bagus dan bermanfaat,Sangat bagus dan bermanfaat,1
348,"Agak bingung sih,, tapi di coba aja","Agak bingung sih,, tapi di coba aja",1
349,terbaik se-Indonesia 👍,terbaik se-Indonesia 👍,1
350,Cepat dan gampang,Cepat dan gampang,1
351,Aku sih penganut gojek tokped garis keras 🙏,Aku sih penganut gojek tokped garis keras 🙏,1
352,Tokopedia Proses Mudah dan Cepat,Tokopedia Proses Mudah dan Cepat,1
353,Mudah dan cepat,Mudah dan cepat,1
354,bagus samgat membantu,bagus samgat membantu,1
355,Semakin baik dalam banyak hal,Semakin baik dalam banyak hal,1
356,Sangat membantu untuk proses belanja dan pembayaran tagihan bulanan. Terimakasih tokopedia!!,Terimakasih tokopedia!,1
357,Aplikasi andalan,Aplikasi andalan,1
358,Banyak pilihan dan selalu ada. Memberikan yang termurah. Sangat memuaskan. Thx TOPED,Memberikan yang termurah.,1
359,Urusan aman dan terpercaya,Urusan aman dan terpercaya,1
360,"Dulu suka sama tokped karena gak ada fee ina itu. Tapi makin ke sini, tiba tiba makin banyak fee tambahan, dan bahkan gratis ongkir somehow kadang gak ada. Jadi belanja mahal di biaya ina itunya.",Jadi belanja mahal di biaya ina itunya.,-1
361,Gak pernah kecewa belanja dsini,Gak pernah kecewa belanja dsini,1
362,belanja olshop via tokopedia menurut saya sangat aman dan nyaman. tapi kita sebagai buyer juga harus smart dalam memilih produk. sukses selalu tokopedia!,tapi kita sebagai buyer juga harus smart dalam memilih produk.,1
363,"Mau apa aja , ada","Mau apa aja , ada",1
364,Terbaiklah pokona mah 👍👍👍👍👍,Terbaiklah pokona mah 👍👍👍👍👍,1
365,"Service charge pembayaran dengan gopay sekarang semakin mahal, 2000 per transaksi. Naik terus naik terus 😩",Naik terus naik terus 😩,-1
366,Kebetulan dapet dr Bandung sesuai kebutuhan 😃😃😃,Kebetulan dapet dr Bandung sesuai kebutuhan 😃😃😃,0
367,"Packing rapi, pengiriman cepat, barang ok","Packing rapi, pengiriman cepat, barang ok",1
368,Aplikasi yg sangat bagus belanja bikin senang harga terjangkau👍👍👍,Aplikasi yg sangat bagus belanja bikin senang harga terjangkau👍👍👍,1
369,Mgkin karna aku biasa pke shop** yg ini agak belibet cuman oke aja sih,Mgkin karna aku biasa pke shop** yg ini agak belibet cuman oke aja sih,-1
370,Terbaikkkkk,Terbaikkkkk,1
371,"Transaksi lancar. Cepat , mudah","Cepat , mudah",1
372,Semoga semakin sering cashback nya 😆,Semoga semakin sering cashback nya 😆,1
373,"Very convinient, beli apa aja ada dgn harga dan kualitas yg bagus 😁😁","Very convinient, beli apa aja ada dgn harga dan kualitas yg bagus 😁😁",1
374,Sejauh ini aman aman aja ga ada kesalahan dan belum pernah complain :) thanks tokped,Sejauh ini aman aman aja ga ada kesalahan dan belum pernah complain :) thanks tokped,1
375,"Seakrang cash backnya dikit Biaya admin mihil Hiks
Ada biaya aplikasi juga 🥲","Seakrang cash backnya dikit Biaya admin mihil Hiks
Ada biaya aplikasi juga 🥲",-1
376,Sangat aman dan mudah bertransaksi di tokopedia,Sangat aman dan mudah bertransaksi di tokopedia,1
377,"Thank you Tokopedia untuk segala kemudahannya, keep up the good work!","Thank you Tokopedia untuk segala kemudahannya, keep up the good work!",1
378,"Pelayanan tokopedia sangat bagus, banyak promonya juga","Pelayanan tokopedia sangat bagus, banyak promonya juga",1
379,Cepat dan akurat,Cepat dan akurat,1
380,"Sangat Mudah, Cepat, Profesional Penanganan Komplain : 👍🏻👍🏻👍🏻👍🏻👍🏻","Sangat Mudah, Cepat, Profesional Penanganan Komplain : 👍🏻👍🏻👍🏻👍🏻👍🏻",1
381,"Mudah digunakan, respon cepat, and cepat dalam memuat. Sebenarnya pop-up klaim voucher sedikit mengganggu",Sebenarnya pop-up klaim voucher sedikit mengganggu,-1
382,Super 👍🏽,Super 👍🏽,1
383,buka app cepat,buka app cepat,1
384,Selalu pakai tokped kl belanja online krn banyak seller yg terpercaya wlw masih ada bbrp jg yg lolos verifikasi pdhal lokasi penjual nya ga bener/ga sesuai,Selalu pakai tokped kl belanja online krn banyak seller yg terpercaya wlw masih ada bbrp jg yg lolos verifikasi pdhal lokasi penjual nya ga bener/ga sesuai,-1
385,"Paling lancar, pilihan banyak banget, aplikasi sangat enak dipakai, website nya juga enak dipakai, cara pembayaran buanyak! Jarang ke toko lain. Best!",Jarang ke toko lain.,1
386,Tokped mantab,Tokped mantab,1
387,Sangat membantu dalam berbelanja,Sangat membantu dalam berbelanja,1
388,UI Appnya cantik untuk ipad 5 mini 👍,UI Appnya cantik untuk ipad 5 mini 👍,1
389,"Sukses terus, sejauh ini suka dgn tokopedia krna promo ongkir/cashback tdk dgn pembayaran tertentu, semoga terus begitu ya biar berkah 👍🏻","Sukses terus, sejauh ini suka dgn tokopedia krna promo ongkir/cashback tdk dgn pembayaran tertentu, semoga terus begitu ya biar berkah 👍🏻",1
390,"barang bagus, sesuai dengan pesanan","barang bagus, sesuai dengan pesanan",1
391,Sesuai,Sesuai,1
392,"Dari semua Ecomm menurut gue Tokped yg paling lengkap dan bagus kurasi nya utk local brand.. selain itu opsi pengiriman nya juga jelas dan simple

downside nya Tokped adalah CS nya pake robot jd suka muter2 jawabannya","Dari semua Ecomm menurut gue Tokped yg paling lengkap dan bagus kurasi nya utk local brand.. selain itu opsi pengiriman nya juga jelas dan simple

downside nya Tokped adalah CS nya pake robot jd suka muter2 jawabannya",0
393,"Tampilan apps bikin pusing, ngga user friendly, lebih simple pake apps sebelah","Tampilan apps bikin pusing, ngga user friendly, lebih simple pake apps sebelah",-1
394,Luar biasa banyak wejangan2 yang ciamik 🙏,Luar biasa banyak wejangan2 yang ciamik 🙏,1
395,"Biaya transaksi naik 3.000, bebas ongkir ga ada dan promo dipersulit. Tokopedia plus juga rugi. Tolong itu ga usah MARKETING sewa artis korea, dananya untuk PROMO PENGGUNA LAMA aja. Jgn kebanyakan dana marketing tapi pengguna lama ga diperhatikan.👎👎👎👎👎perbanyak promo cashback!!! Berulang kali minta bintang…. ⭐️","Tolong itu ga usah MARKETING sewa artis korea, dananya untuk PROMO PENGGUNA LAMA aja.",-1
396,Sofar membantu dalam setiap keperluan baik urgential atau keperluan lainnya,Sofar membantu dalam setiap keperluan baik urgential atau keperluan lainnya,1
397,Transaksi rekber yg bisa diandalkan. Salut buat pengiriman gratis dari gosend 👌👌👌,Salut buat pengiriman gratis dari gosend 👌👌👌,1
398,"Lepas aja saham sama goto cuma beban doang, dr dulu tokped udah berjaya sendiri","Lepas aja saham sama goto cuma beban doang, dr dulu tokped udah berjaya sendiri",-1
399,Anjayy slebeww,Anjayy slebeww,0
400,Lebih praktis karena bisa dari rumah,Lebih praktis karena bisa dari rumah,1
401,"Rapi, nyaman, gak ribet, perform aplikasi mantap","Rapi, nyaman, gak ribet, perform aplikasi mantap",1
402,Diskonnya jelas tidak muter-muter,Diskonnya jelas tidak muter-muter,1
403,"Terpercaya, gampang pembayarannya, banyak jenis barang & jasanya","Terpercaya, gampang pembayarannya, banyak jenis barang & jasanya",1
404,Bagus pokoknya,Bagus pokoknya,1
405,Mudah dan aman dalam bertransaksi,Mudah dan aman dalam bertransaksi,1
406,"Platform belanja online paling didepan, banyak keuntungan : toko point, gratis ongkir Terus tingkatkan fasilitasnya dan manjakan user supaya user semakin nyaman .. SUKSES BUAT TOKPED👍👍","Platform belanja online paling didepan, banyak keuntungan : toko point, gratis ongkir Terus tingkatkan fasilitasnya dan manjakan user supaya user semakin nyaman .. SUKSES BUAT TOKPED👍👍",1
407,"Banyak pilihan reseller, banyak promo, banyak cashback","Banyak pilihan reseller, banyak promo, banyak cashback",1
408,Super,Super,1
409,Harus dijunjung tinggi,Harus dijunjung tinggi,1
410,Tapi Klo Bisa harganya murce dikit ding Kyk toko sebelah ☺️,Tapi Klo Bisa harganya murce dikit ding Kyk toko sebelah ☺️,0
411,Pastinya!,Pastinya!,0
412,Mantap bestttt,Mantap bestttt,1
413,"Bebas ongkir, ada cashback, jadi bisa dapat harga super murah","Bebas ongkir, ada cashback, jadi bisa dapat harga super murah",1
414,Aman dan nyaman dlm bertransaksi di tokopedia,Aman dan nyaman dlm bertransaksi di tokopedia,1
415,Mantap jaya! Tokopedia makin banyak fitur & pilihan,Tokopedia makin banyak fitur & pilihan,1
416,"Aplikasi merchant online paling gampang, paling keren dan paling memudahkan kehidupan modern","Aplikasi merchant online paling gampang, paling keren dan paling memudahkan kehidupan modern",1
417,keren sangat membantu terima kasih Tokped,keren sangat membantu terima kasih Tokped,1
418,Sangat lemot pada saat pembayaran,Sangat lemot pada saat pembayaran,-1
419,Belanja hemat & memuaskan ya di Tokopedia...,Belanja hemat & memuaskan ya di Tokopedia...,1
420,Cara mudah belanja online dengan reputasi yang baik....,Cara mudah belanja online dengan reputasi yang baik....,1
421,"Kalo dulu bisa pilih promo sebanyak 2 kupon. Sekarang cuma satu,disuruh milih gratis ongkir atau cashback coin. Lama-lama ilang dah promonya",Lama-lama ilang dah promonya,-1
422,Mantap lah,Mantap lah,1
423,Keren pokoknya. Beda sama si oren🫣,Beda sama si oren🫣,1
424,cocok banget buat kebutuhan akan beol,cocok banget buat kebutuhan akan beol,1
425,"Aman, cepat dan tanggap","Aman, cepat dan tanggap",1
426,Filter sewaktu cari barang sangat baik. Jg bisa lgsg pilih alamat pengiriman sewaktu cari barang biar bisa lgsg tau ongkirnya berapa. Toped semakin improve & user friendly dibanding apps belanja lainnya,Toped semakin improve & user friendly dibanding apps belanja lainnya,1
427,Mantap betulll,Mantap betulll,1
428,"Paket belum di terima tapi di aplikasi paket sudah di terima, sudah bertanya ke keluarga dan tetangga mereka pun belum melihat kurir yang bersangkutan, kurir di hubungi sama sekali ga ngerespon. Ga ada solusi dari reseller dan penanganannya butuh berhari-hari dalam pengembalian dana.",Ga ada solusi dari reseller dan penanganannya butuh berhari-hari dalam pengembalian dana.,-1
429,"Sangat memuaskan, salam MRC “Mutiara RentCar” rental mobil yg berlokasi diciputat 081282122008","Sangat memuaskan, salam MRC “Mutiara RentCar” rental mobil yg berlokasi diciputat 081282122008",1
430,Memudahkan pembayaran,Memudahkan pembayaran,1
431,aplikasi nya bagus dan mudah digunakan,aplikasi nya bagus dan mudah digunakan,1
432,Belanja cepat dan mudah,Belanja cepat dan mudah,1
433,Suka dengan sistem TokoPedia yang komunikatif serta membuat pengguna aplikasi aman dan nyaman Keep up the goodwork 👍🏻,Suka dengan sistem TokoPedia yang komunikatif serta membuat pengguna aplikasi aman dan nyaman Keep up the goodwork 👍🏻,1
434,"Promonya downgrade cuy, toped jadi ga asik","Promonya downgrade cuy, toped jadi ga asik",-1
435,Mantep udah 5 tahun pake,Mantep udah 5 tahun pake,1
436,Sesuai apa yg di jual selama saya belanja terimakasih,Sesuai apa yg di jual selama saya belanja terimakasih,1
437,Terfasilitasi dengan baik. Nice!,Nice!,1
438,Semoga aplikasi semakin ringan di ponsel keluaran lama 👍🏻,Semoga aplikasi semakin ringan di ponsel keluaran lama 👍🏻,0
439,"Belanja di Tokopedia sangat menyenangkan, ecommerch terbaik favorit keluarga, Selalu puas belanja di Tokopedia, seller sudah pasti jelas bukan abal2, harga lebih terjangkau dan terlengkap 👍👍👍👍👍👍","Belanja di Tokopedia sangat menyenangkan, ecommerch terbaik favorit keluarga, Selalu puas belanja di Tokopedia, seller sudah pasti jelas bukan abal2, harga lebih terjangkau dan terlengkap 👍👍👍👍👍👍",1
440,"Udh merugikan seller dengan biaya toped, kupon gabisa double sm free ongkir, ada biaya layanan lg. Pindah ke blibli yg lagi bagus2nua",Pindah ke blibli yg lagi bagus2nua,-1
441,"Ada jasa aplikasi yg awalnya tdk ada, rp 2000 trus naik rp 3000","Ada jasa aplikasi yg awalnya tdk ada, rp 2000 trus naik rp 3000",-1
442,Makin banyak Promo dan cash back ya,Makin banyak Promo dan cash back ya,1
443,Tepat waktu,Tepat waktu,1
444,Good job tokopedia teruslah berkarya dan tingkatkan kualitas pelayanan. Bless you,Bless you,1
445,"Proses pembelian sangat mudah , pilihan lapak yang banyak dan semua kebutuhan / barang yang kita inginkan, semuanya tersedia disini.","Proses pembelian sangat mudah , pilihan lapak yang banyak dan semua kebutuhan / barang yang kita inginkan, semuanya tersedia disini.",1
446,Puas banget proses nya mudah tidak ribet,Puas banget proses nya mudah tidak ribet,1
447,Aplikasi mudah digunakan dan banyak promo menarik 👍,Aplikasi mudah digunakan dan banyak promo menarik 👍,1
448,Solusi jelek banget dan memaksa👎👎👎👎👎,Solusi jelek banget dan memaksa👎👎👎👎👎,-1
449,"Kebanyakan pembeli mengeluhkan dengan biaya administrasinya yang tinggi, terutama dengan adanya biaya aplikasi sebesar 2000","Kebanyakan pembeli mengeluhkan dengan biaya administrasinya yang tinggi, terutama dengan adanya biaya aplikasi sebesar 2000",-1
450,Singkat Jelas Cepat dan praktis,Singkat Jelas Cepat dan praktis,1
451,Proses mudah,Proses mudah,1
452,"Paling percaya dan yakin sama tokopedia , selalu bisa membantu sya jika ada masalah dengan penjual. Terima kasih tokopedia",Terima kasih tokopedia,1
453,Selalu ngehang app-nya saat mau ubah produk.,Selalu ngehang app-nya saat mau ubah produk.,-1
454,"Maksa bgt byr pake gopay 🤣 kalo ga pake gopay kena lg biaya layanan. Masa mau checkout 1 pesanan aja hrs kena 2 biaya. Ga besar sih nominalnya, tp lama2 jadi males belanja di tokped 🤞","Ga besar sih nominalnya, tp lama2 jadi males belanja di tokped 🤞",-1
455,Aplikasi top banget,Aplikasi top banget,1
