,Original,Summary
3966,good,good
3967,BIAYA,BIAYA
3968,Penilaian bintang berubah bersamaan Kenaikan Biaya Lananan  ,
3969,Dikenakan biaya embel embel  jasa jasa  Turunkan rating lg ,Turunkan rating lg 
3970,Suka lemot kalo lgi upgrade tolong perbaiki sistem nya,Suka lemot kalo lgi upgrade tolong perbaiki sistem nya
3971,ngisi e money ga nih updet   Udah gt skrg udh pelit cashbacknya   Promonya pelitttt Udah gitu biaya layanan 1k  skrg 3k hadeuhhhh  Beralih toko oren toko biru ajalah,Beralih toko oren toko biru ajalah
3972,Tokopedia kesini kesana,Tokopedia kesini kesana
3973,Gk klik vocer pilih kurir  gk jdi belanja,Gk klik vocer pilih kurir  gk jdi belanja
3974,mantap,mantap
3975,Program plus sialan  Barang cepet program ongkos gratis bikin kurir males  5 th pakai Tokopedia bagus pakai instan kurir langsung ditawarin langganan plus tokopdia biar didahulukan langganan mahal cepet ongkos gratis dipakai samedays next day terpaksa pakai biar gratis Karna langganan tau2nya gak sampai2 emang program sialan nipu2 langganan mahal cancel butuh investasi 3 hr,Barang cepet program ongkos gratis bikin kurir males 
3976,biaya layanan 1000  nambah biaya aplikasi 2000  mendingan sy belanja ecommerce yg laen aja  males skrg belanja ditokopedia banyakan biaya yg g,biaya layanan 1000  nambah biaya aplikasi 2000  mendingan sy belanja ecommerce yg laen aja  males skrg belanja ditokopedia banyakan biaya yg g
3977,Aplikasi ringan gak pake sabar ngeluh mulu ,Aplikasi ringan gak pake sabar ngeluh mulu 
3978, Belanja Tokped senyaman  gabisa gabung bebas ongkir voucher diskoncashback  Kurir rekomendasi sesuai rekomendasi  pilih kurir kalo bebas ongkir toko oren  biaya layanan 1000  nambah jasa aplikasi 2000 udah kayak app ojek aja  ga rekomendasi nih Tokped ,ga rekomendasi nih Tokped 
3979,Biaya layanan biaya aplikasi  toped mencekik konsumen  goodbye toped  tunggu seminggu biaya diatas uninstall ya,tunggu seminggu biaya diatas uninstall ya
3980,turunkan bintangnya  perubahan ok  palah sulit  custumor care nya hubungi bertransaksi  kadang transaksi  pembayaran dll  do toko online sebelah gampang  custumor care nya ready 24 jam pakai ribet menghubungi  biaya pertransaksi 2000 rupiah1000 rupiah kemahalan ,turunkan bintangnya  perubahan ok  palah sulit  custumor care nya hubungi bertransaksi  kadang transaksi  pembayaran dll  do toko online sebelah gampang  custumor care nya ready 24 jam pakai ribet menghubungi  biaya pertransaksi 2000 rupiah1000 rupiah kemahalan 
3981,suka belanja d toped SDH aga malas SDH gagalnya SDH d bayar barang gajadi JD saldo d toped,suka belanja d toped SDH aga malas SDH gagalnya SDH d bayar barang gajadi JD saldo d toped
3982,Teruntuk Tokopedia  mohon jasa ekspedisi Sicepat  trauma pake Sicepat ngirim paket lelet ampun ,Teruntuk Tokopedia  mohon jasa ekspedisi Sicepat  trauma pake Sicepat ngirim paket lelet ampun 
3983,banget belanja tokped  tp  ui tokped enak  Sayang banget kebijakan  yg menguntungkan penjual pembeli  bye bye,banget belanja tokped  tp  ui tokped enak  Sayang banget kebijakan  yg menguntungkan penjual pembeli  bye bye
3984,Kenapaa ribet dipersulit bikin bete,Kenapaa ribet dipersulit bikin bete
3985,Gak seru biaya aplikasi 2000transaksi,Gak seru biaya aplikasi 2000transaksi
3986,buruk pelayanannya semenjak merger gojek,buruk pelayanannya semenjak merger gojek
3987,ok,ok
3988,makasih promo nya ,makasih promo nya 
3989,aplikasi taik biaya layanan biaya jasa aplikasi ongkirnya berubah mahal,aplikasi taik biaya layanan biaya jasa aplikasi ongkirnya berubah mahal
3990,murahh,murahh
3991,Kecewa kurir Tokopedia alias si cepat yg main cancel cancel aja kirim costumer,Kecewa kurir Tokopedia alias si cepat yg main cancel cancel aja kirim costumer
3992,oke,oke
3993,mahal,mahal
3994,bayar tagihan cashback,bayar tagihan cashback
3995,Oke makasih ya bos sya udah bayar ya,Oke makasih ya bos sya udah bayar ya
3996,,
3997,,
3998,Tokopedia bagus sih  ngga biaya layanan  Lama2 biaya layanan  yaa 1k  belanjanya 510x itungan nya mahal ya  Eeeh tambahan jasa aplikasi 2k cek out  biaya layanan 1k  cek out nambah 3k biaya layananjasa aplikasi hadeuh  Lama2 belanja warung2 tetangga aja  Niat belanja online simple murah ,Niat belanja online simple murah 
3999,rekomendasi,rekomendasi
4000,Hai apk nya bagus kendala ngk barang cod tolong bikin cod bagus download apk in,Hai apk nya bagus kendala ngk barang cod tolong bikin cod bagus download apk in
4001,mantap terpercaya,mantap terpercaya
4002,Biaya admin mahal bnr 2000  lama2 pindah sebelah,Biaya admin mahal bnr 2000  lama2 pindah sebelah
4003,joosss,joosss
4004,Mantep,Mantep
4005,ditingkatkan ya min  blokir toko toko menjual barang palsu merugikan konsumen  ,
4006,nyoba,nyoba
4007,Susah dapet gratis ongkir dibawah 50 ribu  Mending pindah marketplace sebelah  kupon gratis ongkir gabisa digabung kupon cashback  kesini mahal  Payah   ,Mending pindah marketplace sebelah 
4008,biaya tambahan jd 3000 gokil  jd males transaksi ,jd males transaksi 
4009,Sumpah kapok investasi reksadana Tokopedia,Sumpah kapok investasi reksadana Tokopedia
4010,Toped mantsb guys,Toped mantsb guys
4011,rekomendasi,rekomendasi
4012,Suka banget,Suka banget
4013,terima kasih ceria tokopedia  semoga jaya,terima kasih ceria tokopedia  semoga jaya
4014,Mantap  ,
4015,judul produk yg menjebak tpi biarkan ,judul produk yg menjebak tpi biarkan 
4016,Topup kartu tol  Saldo ga msk Uda 2 jam  Ga Bsa tol 2 jam Gra  blm slsai saldo  Smua prosedur Uda kasi tp membantu  Teruntuk yg baca tulisan mohon pertimbangkan keluhan  jgn smpai Klian terdampar tol 2 jam perkara saldo blm masuk  Makasih loh Uda emosi Tokopedia ,Saldo ga msk Uda 2 jam 
4017,oke,oke
4018,Dana pencairan tahan wkwk Nominal 12jt serem kalo tokped khilaf,Dana pencairan tahan wkwk Nominal 12jt serem kalo tokped khilaf
4019,Pake biaya jasa aplikasi  2rb nambah2 pengeluaran ajah  Tolong kurangin  Tokopedia kann aplikasi pembelanjaan no 1  biaya layanan jasa aplikasi ajah bayar  Parahh     2meitokpedMAHAL,biaya layanan jasa aplikasi ajah bayar 
4020,Udh enak2 apa2 langganan pake  kaget skrg mahal bgt biaya tambahan nya,Udh enak2 apa2 langganan pake  kaget skrg mahal bgt biaya tambahan nya
4021,baiikkkk,baiikkkk
4022,Andalan sih  cuman kesinikesini menyebalkan ,Andalan sih  cuman kesinikesini menyebalkan 
4023,tokopedia ok is the best,tokopedia ok is the best
4024,terbaik,terbaik
4025,5 bintang  kmrin hp error  salah tekan hahaha,5 bintang  kmrin hp error  salah tekan hahaha
4026,RUAR  BIAYA JASA APLIKASI ,RUAR  BIAYA JASA APLIKASI 
4027,bagus,bagus
4028,biaya tambahan  Biaya layanan  biaya aplikasi yg lari toko sebelah  Kaya mini market yg tukang parkirnya  sepi,sepi
4029,biaya jasa apalikasi nya  pemberitahuan transaksi dikenakan biaya aplikasi genap setahun biaya aplikasi transaksi 100   kecewa ,biaya jasa apalikasi nya  pemberitahuan transaksi dikenakan biaya aplikasi genap setahun biaya aplikasi transaksi 100   kecewa 
4030,UNINSTAL  BYE TOKPED ,UNINSTAL  BYE TOKPED 
4031,apk gk beli barang parah apk,apk gk beli barang parah apk
4032,Udah nyaman aja tokped  eh biaya embel embelnya  biaya aplikasi  biaya layanan totalnya sampe 3rbtransaksi  hadehhhhhhh,Udah nyaman aja tokped  eh biaya embel embelnya  biaya aplikasi  biaya layanan totalnya sampe 3rbtransaksi  hadehhhhhhh
4033,Kanapa ya Tokopedia kabanyakan harga barang labih mahal ketimbang d aplikasi Oren katika lihat bandingkan harga toko Oren lihat Tokopedia samua mahal ² gimana balanja Tokopedia orang bodoh yg balanja yg labih murah kanapa bali yg mahal kualitas barang harga mahal d Tokopedia,Kanapa ya Tokopedia kabanyakan harga barang labih mahal ketimbang d aplikasi Oren katika lihat bandingkan harga toko Oren lihat Tokopedia samua mahal ² gimana balanja Tokopedia orang bodoh yg balanja yg labih murah kanapa bali yg mahal kualitas barang harga mahal d Tokopedia
4034,keren,keren
4035,bagus,bagus
4036,Biaya aplikasi mahal,Biaya aplikasi mahal
4037,ambil profit nih Toped  Udah langganan PLUS tetep aja gaada beda nya nya reguler  edannya  Biaya admin order sampe 3000  Bener2 ,edannya  Biaya admin order sampe 3000 
4038,Beli barang menunggu pengiriman mandek  mohon update  udah admin lambat prosesnya,Beli barang menunggu pengiriman mandek  mohon update  udah admin lambat prosesnya
4039,Nambah biaya aplikasi nambah biaya layananongkir ga full freedr murah jd mahalbyeee topeddd,Nambah biaya aplikasi nambah biaya layananongkir ga full freedr murah jd mahalbyeee topeddd
4040,Tokped biaya aplikasinya kesini trs ,Tokped biaya aplikasinya kesini trs 
4041,Alhamdulillah refund berhasil,Alhamdulillah refund berhasil
4042,Pelayanan yg parah solusi yg memberatkan pembeli kesalahan penjual  kecewa parah kapok transaksi,Pelayanan yg parah solusi yg memberatkan pembeli kesalahan penjual  kecewa parah kapok transaksi
4043,biaya jasa aplikasi  yg nya nol  trus 1000pesanan  tgl 030523 biaya jasa aplikasi nya 2000pesanan  klo yg order tokped berasa klo biaya jasa nya  akun udah platinum yg arti nya belanja tokped  skrng udah bayar 150000 perpanjang langganan plus udah yg 2x nya  tolong kaji ulang biaya jasa aplikasi nya ya min,biaya jasa aplikasi  yg nya nol  trus 1000pesanan  tgl 030523 biaya jasa aplikasi nya 2000pesanan  klo yg order tokped berasa klo biaya jasa nya  akun udah platinum yg arti nya belanja tokped  skrng udah bayar 150000 perpanjang langganan plus udah yg 2x nya  tolong kaji ulang biaya jasa aplikasi nya ya min
4044,Santai aja kali,Santai aja kali
4045,Kalo harga barang oke    biaya pengiriman nya oke  harga barang beli ongkir nya    tolong perbaiki pembeli merasakan keringanan ongkirnya,Kalo harga barang oke    biaya pengiriman nya oke  harga barang beli ongkir nya    tolong perbaiki pembeli merasakan keringanan ongkirnya
4046,Nice good,Nice good
4047,Mantab,Mantab
4048,Bau bau bangkrut,Bau bau bangkrut
4049,mantappp,mantappp
4050,teruss teruss biaya layanan 1k  biaya jasa aplikasi 2k   ku doakan semoga kompetitor kuat menggoyangkan, ku doakan semoga kompetitor kuat menggoyangkan
4051,biaya layanan jasa,biaya layanan jasa
4052,kecewa tokped  biaya layanan 1000  biaya jasa aplikasi 2000 kemarin 1000,kecewa tokped  biaya layanan 1000  biaya jasa aplikasi 2000 kemarin 1000
4053,kena charge biaya layanan  oke gpp  biaya jasa aplikasi  Total transaksi 3ribu rupiah ,biaya jasa aplikasi 
4054,mudah,mudah
4055,aktifin fitur gopay later gaes    rentenir    cicilan 130 an telat 2hari denda 50 rebu  wow amazing  pengen cepat kaya kayakny gojek,aktifin fitur gopay later gaes    rentenir    cicilan 130 an telat 2hari denda 50 rebu  wow amazing  pengen cepat kaya kayakny gojek
4056,Bertahuntahun pake tokped  kecewa tokped ga menyediakan fitur cicilan kartu kredit bri pinjol kredivo dll  Biaya layanan 1000  Biaya jasa aplikasi 2000 biaya tambahan harga barang,Biaya layanan 1000  Biaya jasa aplikasi 2000 biaya tambahan harga barang
4057,Belanja online top  recommended  pengguna setia tokopedia  dgn cicilan paylater memudahkan aktivitas penggunapembeli nyaman aman ,recommended  pengguna setia tokopedia 
4058,kesini males pakai aplikasi  voucher diskon  eh biaya penanganan pakai gopay 2500  biaya admin bayar pakai bank 3000  Biaya layananBiaya Jasa Aplikasi   tokped,tokped
4059,Oke,Oke
4060,skrg biaya layanan 1000 jasa aplikasi 2000 total 3000 checkout  byeeee tokped ,byeeee tokped 
4061,bagus,bagus
4062,good,good
4063,Biaya aplikasi 2k plus layanan 1k  3k lawak wkwk,Biaya aplikasi 2k plus layanan 1k  3k lawak wkwk
4064,pembelanjaan murah praktis murah sebelah  luv,luv
4065,mikir cari aplikasi yg krna Tokopedia skrng bnyak tambahan biayaya nya  Yg nya ga  biayaya transaksi  skrng ditambah biayaya layanan nambah biayaya   semangat tokopedia  lanjutkan tambahan biayayanya biar orang pindah aplikasi ,Yg nya ga  biayaya transaksi  skrng ditambah biayaya layanan nambah biayaya   semangat tokopedia  lanjutkan tambahan biayayanya biar orang pindah aplikasi 
4066,Reksa dana pending,Reksa dana pending
4067,Mantaap,Mantaap
4068,gak enak belanja ditokopedia  Biaya jasa layanan kena 1rb  biaya jasa aplikasi kena 2rb  biaya asuransi pengiriman  cashback  terlanjur berlangganan plus 150rb 6  transaksi dikenakan biaya admin 2rb mah mahal banget  MENGECEWAKAN,gak enak belanja ditokopedia  Biaya jasa layanan kena 1rb  biaya jasa aplikasi kena 2rb  biaya asuransi pengiriman  cashback  terlanjur berlangganan plus 150rb 6  transaksi dikenakan biaya admin 2rb mah mahal banget  MENGECEWAKAN
4069,Owh Agt 2022 tokPed byadm nya yak cibu  kek si toko oren sebelah  Mei 2023 byjasa aplikasi 2rb  1rb bylayanan  3rb transaksi  Ckckck banget deh mo jajan onlen ,Ckckck banget deh mo jajan onlen 
4070,Bagus,Bagus
4071,mantap,mantap
4072,Biaya layanan 1 rb lh  tpi tmbh 2 rb  jd Mikir 2 x  mending toko sebelah,Biaya layanan 1 rb lh  tpi tmbh 2 rb  jd Mikir 2 x  mending toko sebelah
4073,Biaya seller  Biaya belanja pembeli  Voucher2 diskon hilang  Payah bener ,Biaya belanja pembeli 
4074,Skarang biaya tambahan  harga produk yg dijual dikenakan pjk dll   biaya aplikasi  sangkanya pesan gofood  bukanx apk gofood  ngapain gabung2 ditokopedia   sih  menuhmenuhin aja  kecampur ngak karuan  bingung cari2 barang2  bagus  peningkatan apanya sih  penurunan menurutku ,penurunan menurutku 
4075,good,good
4076,cepat ,cepat 
4077,telat pembayaran payleter 12 udah tlpn marah2 csnya sya bayar goblog  susahnya tpn marah2,telat pembayaran payleter 12 udah tlpn marah2 csnya sya bayar goblog  susahnya tpn marah2
4078,Njir biaya transaksi jasa aplikasi males bet belanja tokopedia ongkos kirim,Njir biaya transaksi jasa aplikasi males bet belanja tokopedia ongkos kirim
4079,kena biaya layanan pakek biaya aplikasi  gratis ongkir ngak pakek  Kayaknya ganti yg,Kayaknya ganti yg
4080,tambahan biaya layanan biaya jasa   nya murah barangnya bertambah mahal biaya tmbahan  potongan jarang,tambahan biaya layanan biaya jasa   nya murah barangnya bertambah mahal biaya tmbahan  potongan jarang
4081,good,good
4082,oke  semoga mitra kedepannya  terimakasih,oke  semoga mitra kedepannya  terimakasih
4083,kesini kesana  lama2 biaya karyawan  ob  gedung  Dll,Dll
4084,malas bgt belanja toped BIAYA TAMBAHAN nya  biaya layanan  biaya aplikasi  kena biaya    Mending belanja ditempat aja deh yg gak  PUNGLI  nya ,Mending belanja ditempat aja deh yg gak  PUNGLI  nya 
4085,pelanggan setia TOKOPEDIA kali kecewa Si penjual kirim barangnya lapor admin tokped persulit kirim video gagalkan aplikasi Tokopedia nya Gmn konsumen lindungi  Klo Tokopedia gak bantu persulit   Karna 20rb anggap iklasin  klo harga barangnya mahal tuntut si penjual nih aplikasi Tokopedia  sebarin sosmed tuman ,klo harga barangnya mahal tuntut si penjual nih aplikasi Tokopedia  sebarin sosmed tuman 
4086,Penjual ga niat jualan pesanan dikontirmasi  uang refund susah narik,Penjual ga niat jualan pesanan dikontirmasi  uang refund susah narik
4087,belanja biaya layanan  jualan potongan admin nya  Maaf unistal apk nya  Terimakasih Tokopedia,Terimakasih Tokopedia
4088,Bagusan sebelah pencarian nya ,Bagusan sebelah pencarian nya 
4089,apk bagus,apk bagus
4090,biaya  Contoh wajib asuransi  biaya admin  biaya layanan  harga melonjak seller yg tawarkan,Contoh wajib asuransi  biaya admin  biaya layanan 
4091,Buset sadis  kena biaya layanan 1000  biaya aplikasi 2000 transaksi kena tambahan 3000 klo pake asuransi  Cashback skrg gak  Krn pilih salah kupon cashback gratis ongkir  males buka Toped klo gak kepepet ,Krn pilih salah kupon cashback gratis ongkir  males buka Toped klo gak kepepet 
4092,Seller kurirnya abal abal  tokopedia menindaklanjuti seller kurir yg kacau  Maaf kapok,Maaf kapok
4093,Aplikasi buruk,Aplikasi buruk
4094,maantap,maantap
4095,customer tokped playstore yg berisi daftar harga hp pasaran layanan ecommerce  say sorry cabut  buruk pelayanannya  tokopedia care yg  tamplate  sebulan 2x yg mengecewakan tertipu  hati ya tau aja  ,sebulan 2x yg mengecewakan tertipu  hati ya tau aja  
4096,bingung paham,bingung paham
4097,,
4098,Ah kecewa banget Tokopedia namanya gratis ongkos kirim huff kemarin ongkir gak,Ah kecewa banget Tokopedia namanya gratis ongkos kirim huff kemarin ongkir gak
4099,bagus cepat,bagus cepat
4100,kalo narik dana nya kadang gak ditunggu banget  Beda apk sebelah klo narik langsung masuk rek Trus tunggu gagal trus potongan biaya tetep potong dananya gagal tarik saran yg make apk ni jngan simpen saldo mending kosongin narik nya lala lele gagal trus tetep keba potongan ,Beda apk sebelah klo narik langsung masuk rek Trus tunggu gagal trus potongan biaya tetep potong dananya gagal tarik saran yg make apk ni jngan simpen saldo mending kosongin narik nya lala lele gagal trus tetep keba potongan 
4101,kesini sreg belanja disni  Tuk biaya layanan okelah cm Rp 1000 transaksi  skrg biaya aplikasi Rp 2000  keuntungan buyer dgn biaya nambah beban belanjaan ja  Mending toko ungu ja dah  disana mah biaya klo yg cod doang ,Mending toko ungu ja dah  disana mah biaya klo yg cod doang 
4102,,
4103,gratis ongkir,gratis ongkir
4104,Parah  skrang pke biaya layanan  aplikasi jg ,Parah  skrang pke biaya layanan  aplikasi jg 
4105,Tokopedia mantap banget,Tokopedia mantap banget
4106,Bagus,Bagus
4107,Cintai produk negeri,Cintai produk negeri
4108,cashback 300ribu Tokopedia seru trus direkomendasikan barang beli cashback Tokopedia  gopay,gopay
4109,belanja tokopedia gak jd krn biaya layanan 1000 biaya jasa aplikasi 20003000  Besok2 ditambah biaya lg ya sm tokpedia  ,Besok2 ditambah biaya lg ya sm tokpedia  
4110,biaya jasa aplikasinya bertambah ya dulunya gak  udah isi saldonya biaya layanan  mestikah berpaling,biaya jasa aplikasinya bertambah ya dulunya gak  udah isi saldonya biaya layanan  mestikah berpaling
4111,Terkenal begal cashback  kebanyakan php eh biaya nya nambah biaya aplikasi biaya layanan  Sungguh ta masuk akal kesini mantap pindah biru ,Terkenal begal cashback  kebanyakan php eh biaya nya nambah biaya aplikasi biaya layanan  Sungguh ta masuk akal kesini mantap pindah biru 
4112,Maaf demo  pelanggan,Maaf demo  pelanggan
4113,pembelian pulsa XL tokopedia menambah aktif pembelian informasi tambahan aktif pilihan nominal pembelian ,pembelian pulsa XL tokopedia menambah aktif pembelian informasi tambahan aktif pilihan nominal pembelian 
4114,puas bayar berbayar belanja mudah guysss,puas bayar berbayar belanja mudah guysss
4115,susah banget mengupdate nyalagi waloupun kali coba nggak buka aplikasi Tokopedia  ya  Terimakasih,Terimakasih
4116,kecewa respon pengembalian dana bermasalah cepat  biarpun  gpp yg dana ,kecewa respon pengembalian dana bermasalah cepat  biarpun  gpp yg dana 
4117,MEI 2023 BIAYA TRANSAKSI 3000 YG BELANJA  FREEONGKIR ANTARAJA SICEPOT  Anak jg tau pd pindah LAZADA SHOPEE  Parah MP aroma2 bangkrut,FREEONGKIR ANTARAJA SICEPOT  Anak jg tau pd pindah LAZADA SHOPEE  Parah MP aroma2 bangkrut
4118,GILA BIAYA LAYANAN 10002000 Mati suri lama2 nih toped nasibnya kaya BUKALAPAK  Customer pindah LAZADA SHOPEE  ga ngotak bikin aturan,Customer pindah LAZADA SHOPEE  ga ngotak bikin aturan
4119,Biaya aplikasinya  Hadeuhhh ketauan bgt bangkrut  Pindah aja shopee hahaha,Hadeuhhh ketauan bgt bangkrut  Pindah aja shopee hahaha
4120,menyesal pakai aplikasi,menyesal pakai aplikasi
4121,Layanan kesini jelek  biaya jasa aplikasi nambah aja  mending belanja ditoko oren ,mending belanja ditoko oren 
4122,Biaya Layanan 1K  Biaya Apikasi 2K    ,
4123,buruk,buruk
4124,promo gratis biaya aplikasi,promo gratis biaya aplikasi
4125,semoga amanah kendala,semoga amanah kendala
4126,,
4127,Makasih tokped balikin accountnya  transaksi mencurigakan dibatalkan dibalikin dananya   Rinaldi Achmad kgk ikhlas gw dunia akhirat  Semoga allah melaknat lu  Aamiin gaes,Semoga allah melaknat lu 
4128,Tolong gopay coins nya tersedia dipakai diskonpembayaran  cmn jd pajangan,Tolong gopay coins nya tersedia dipakai diskonpembayaran  cmn jd pajangan
4129,Aplikasi busuk,Aplikasi busuk
4130,Biaya jasa aplikasi  Hadeehh  Ditambah ga gratis ongkir min belanja 20rb  Auto pindah sebelah ,Biaya jasa aplikasi  Hadeehh  Ditambah ga gratis ongkir min belanja 20rb  Auto pindah sebelah 
4131,Update   kendala ,Update   kendala 
4132,bismillah   semoga dipermudah,bismillah   semoga dipermudah
4133,Terima kasih Tokopedia,Terima kasih Tokopedia
4134,,
4135,kebanyakan biaya layanan  biaya aplikasi,kebanyakan biaya layanan  biaya aplikasi
4136,Parah banget biaya layanan biaya aplikasi ,Parah banget biaya layanan biaya aplikasi 
4137,ya tuhan ongkir kota sampe 9rb  shopee aja 0  2rb tsaaay,ya tuhan ongkir kota sampe 9rb  shopee aja 0  2rb tsaaay
4138,helpful,helpful
4139,Min  tolong tambahin fitur edit history pembelian  Nyesek kadang liat history beli hadiah pergi meninggalkan ,Nyesek kadang liat history beli hadiah pergi meninggalkan 
4140,Semoga Tokopedia toko sebelah kesini kesana  perbanyak voucher 20k akuuuu,Semoga Tokopedia toko sebelah kesini kesana  perbanyak voucher 20k akuuuu
4141,Ok,Ok
4142,Barusan order pake voucher potongan harga  udah sukses udah terbayar  tibatiba berjam dapet notif batalkan sistem Tokopedia nya  Seller  Good ,Good 
4143,bagus,bagus
4144,fitur tukar gak suport hp  trus gunannya appan,fitur tukar gak suport hp  trus gunannya appan
4145,jasa aplikasi 3 ribu pindah aplikasi oren tiktok aja belanja,jasa aplikasi 3 ribu pindah aplikasi oren tiktok aja belanja
4146,terimakasih,terimakasih
4147,mudah,mudah
4148,kesini buruk aja aplikasinya maless belanja,kesini buruk aja aplikasinya maless belanja
4149,nikmat,nikmat
4150,Alhamdulillah,Alhamdulillah
4151,Plus Tokped  aja dgn yg tdk Plus  Pengirimannya  pelayanan tokped tdk bagus  Tokped skrg tdk bagus  care customernya  Nyesel sihh Plus  aja  Plus bayar ya   aja dgn yg tdk bayar  Plus   First   Prakteknya tdk sesuai  Respon tokped care nya  aja dahh  Dah gitu skrg biaya aplikasi nya 2000  males aja order Tokopedia ,aja dahh  Dah gitu skrg biaya aplikasi nya 2000  males aja order Tokopedia 
4152,udh pakai biaya layanan 2000  dah kek parkir  hapus apk  Udh gk   Nambah beban  Beralih biru aja ,Nambah beban  Beralih biru aja 
4153,Ga daftar aneh tolol,Ga daftar aneh tolol
4154,Pembayaran angsuran gagal  dana refund masuk rek hold  Ga ky toko sebelah lgsg masuk rek  pdhl klo telat kena denda  Sp yg nanggung dendanya ,Ga ky toko sebelah lgsg masuk rek  pdhl klo telat kena denda  Sp yg nanggung dendanya 
4155,fitur tukar hpnya  Samsung A23 4G,Samsung A23 4G
4156,Aiiihhh nambah biaya aplikasi,Aiiihhh nambah biaya aplikasi
4157,mahal biaya layanan  belanja 15rb biaya layanan dll sampe 4rb,mahal biaya layanan  belanja 15rb biaya layanan dll sampe 4rb
4158,Weh jasa aplikasi 2000  gratis trs lama2 1000 2000,Weh jasa aplikasi 2000  gratis trs lama2 1000 2000
4159,nunggu barangnya ulasannya,nunggu barangnya ulasannya
4160,MAHAL,MAHAL
4161,Mantaaap banget tokped  biaya  jasa aplikasi  Rp2000order belanja 2 mei 2023  Berasa ngegaji developernya deh bikin apk  Dr ngurangi belanja tokped  kepepet order tokped  Mayan yaaa 20trx dikali 2rb,Dr ngurangi belanja tokped  kepepet order tokped 
4162,Dimohon toko pedia  menyediakan toko toko amanah  barang barang ORI toko toko nya  Kadang belanja ditoko pedia kaya belanja dilazada barang barang Dateng nya TDK sesuai ekspektasi  saran menyediakanmenampilkan toko toko menjual barang TDK ORI  karna kepercayaan toko pedia trimakasih,Kadang belanja ditoko pedia kaya belanja dilazada barang barang Dateng nya TDK sesuai ekspektasi  saran menyediakanmenampilkan toko toko menjual barang TDK ORI  karna kepercayaan toko pedia trimakasih
4163,luvvvluv tokopediaa,luvvvluv tokopediaa
4164,Bagus,Bagus
4165, postingan produk ongkir 22000 checkout ongkir 29500, postingan produk ongkir 22000 checkout ongkir 29500
4166,Bintang 1 kemahalan biaya admin 2000 bosss,Bintang 1 kemahalan biaya admin 2000 bosss
4167,Biaya Transaksi 1000 Biaya Layanan Aplikasi 2000  Uda kaya belanja Indomaret kena parkir  Bjirr  ,
4168,Tokopedia emang the best,Tokopedia emang the best
4169,Uninstalled done  Sorry boss gue pindah lapak sebelah,Sorry boss gue pindah lapak sebelah
4170,sih biaya layanan ditambah biaya jasa aplikasi  Tokopedia baikbaik  cari tambahan  ,cari tambahan 
4171,Tokped pengalaman belanja online yg menyenangkan  Powered by GTl ,Tokped pengalaman belanja online yg menyenangkan  Powered by GTl 
4172,gud,gud
4173,mantappp,mantappp
4174,gede aja potongan jasanya  komisi2  keren nyari duitnya ,gede aja potongan jasanya  komisi2  keren nyari duitnya 
4175,Biaya Aplikasi 2000,Biaya Aplikasi 2000
4176,Ga pake gopay  kena biaya layanan 1000  ditambah belanja kena 3000  Total 4000transaksi  Wow sekaleh ,Wow sekaleh 
4177,ditinggal User,ditinggal User
4178,gk belanja  Eh tau2 biaya macam2   Selangkah_Menuju_Rungkad,Eh tau2 biaya macam2 
4179,knp fitur gopaylater cicil gabisa ya  pembayaran gapernah telat  Tolong perbaiki,pembayaran gapernah telat 
4180,Ongkirnya mahall  denda gopay later ny nyiksa  50rb80rb ,Ongkirnya mahall  denda gopay later ny nyiksa  50rb80rb 
4181,bagus,bagus
4182,Customer Service Tokopedia membantu kendala,Customer Service Tokopedia membantu kendala
4183,Tokopedia bersahabat belanja bayar biaya layanan biaya aplikasi  tertarik menghapus aplikasi Tokopedia bye bye Tokopedia,Tokopedia bersahabat belanja bayar biaya layanan biaya aplikasi  tertarik menghapus aplikasi Tokopedia bye bye Tokopedia
4184,Udah pakai tokped  mengalami kemunduran  lelah bakar uang  program yg dihapus ,lelah bakar uang 
4185,Bakar uang tokopedia worth it  diskon  promo ongkir gak ditambah cashback  biaya layanan 1rb 3 rb  kedepannya biaya ongkir  biaya uiux  biaya server  biaya buzzer  biaya konfirmasi uang  biaya sumbangan pohon  biaya listrik  biaya air  dll  meninggalkan tokopedia  jelajah toko dunia nyata yg murah ,kedepannya biaya ongkir  biaya uiux  biaya server  biaya buzzer  biaya konfirmasi uang  biaya sumbangan pohon  biaya listrik  biaya air  dll 
4186,menghabiskan jatah free ongkir mingguan tokped  keberatan biaya jasa aplikasi 2000  kalo transaksinya lumayan kerasa  Tolong dihapus aja  Biaya layanan 1000 aja gapapa ,Biaya layanan 1000 aja gapapa 
4187,waduhh nambah ni biayanya  biaya layanan  biaya jasa aplikasi  hehehee,waduhh nambah ni biayanya  biaya layanan  biaya jasa aplikasi  hehehee
4188,Kemahalan ongkos kirim ngak sampe 6 km ongkos kirim ratusan ribu biaya aplikasi wkwkwkkw cepat kaya ngak gitu lu yg foto loll,Kemahalan ongkos kirim ngak sampe 6 km ongkos kirim ratusan ribu biaya aplikasi wkwkwkkw cepat kaya ngak gitu lu yg foto loll
4189,Bagus nih biaya jasa aplikasi  Bikin males aja belanja tokped ,Bikin males aja belanja tokped 
4190,kebanyak biaya tambahan  biaya layanan  biaya jasa aplikasi  bedanya  dibedain kalimatnya nambah biaya ,dibedain kalimatnya nambah biaya 
