,content,sentiment
423,"The app runs like trash. It seems like im always dealing with a couple huge bugs that never get fixed. Can't tell you how many times I've had to uninstall and reinstall because the app wasn't working properly. Honestly inexcusable from a 400 BILLION dollar company. Update to this: I got a new phone and am now locked out of my account because I need to ""log in from a device ive logged in from before"", which isn't do-able because my phone died. Support is nonexistent. No help to be had whatsoever",-1
424,Hallo facebook team i has a problm i have forgotten my password there is no code recovery please helpe me,-1
425,"I watch live, and then i comment. The issue is the comments section are going up, I can't see the live while I'm commenting. Please fix it ASAP!!!!!!!!",-1
426,This app is very nice 😘💫,1
427,It will show you ads before it shows you your dead friends' final posts. Thanks. And it shows PORN and you can't flag it!!!,-1
428,Same notification keep popping up after they were cleared. Still happening. Now it won't delete items,-1
429,"Dont bother, don't trust facebook, don't upload any precious data you will loose it with no answer why.",-1
430,My fb friend suggestion is not watching plz repair this prblm no new friends suggestion is not watching 😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰😰,-1
431,Best thing i ever did is leave FB,1
432,this sucks. cant delete it cuz its actual garbage but might as well give bad rating,-1
433,Freak this app,-1
434,If don't have code generator than remove it from people's account so that they can login to their account. You don't provide code tell us remember those code which we have received many times ago. Disgusting.,-1
435,Thanks so much,1
436,I can't open my account after I update the tax info and the two way verification code keeps on appearing and it always says no connection,-1
437,Waste of time,-1
438,To many fake profiles.,-1
439,This app is very useful for speaking English,1
440,"I can not believe the level of scammery that takes place. I expected meaningful interactions with like minded individuals. What did I get? Ads, nothing but ads. Every third or fourth post is an advertisement for some nonsense that I heard a guy mention in the cubicle next to mine, and because Facebook sells your voice recording to companies, they push their product on you. Unbelievable.",-1
441,Great,1
442,Can't use external browser when click link on home. Even on options settings already check still not use external browser...,-1
443,Good appe,1
444,"S u s r , with me I have",0
445,I really want to try the create another profile feature but it's not even visible on my account no matter what device I use. I used to have it before but only shows white screen when clicked. I hope this gets fixed and have everyone make use of it.,0
446,Facebook refuse installing,-1
447,Says that I can not send friend request to people I know why does it keep on doing that and it blocks me because I follow the page or like it. Very frustrating to use,-1
448,"always good but others this app use bad thing and bad news, bad message sand and share give... use human bad thinking... that",0
449,Reviews on this site,0
450,Effective social tool to reaching friends and families all over the World.,1
451,beautiful apps for my life and i am try to make a earn money,1
452,Privecy सिक्युरिटी लेबल not good I hope some change to be update..,-1
453,I think it's beat,1
454,Facebook has sttoped issue pls inform,-1
455,It's Need Work,-1
456,But rig8vht kind of it noonhvhw towards the hostess one there and then take out this Yucca Andraya nfhput 1 t I got aboutm garden nose here we will s Don't water on itee what we can do evev4. nhere.Tre1e cut down a this years ago,0
457,I want to recover this Facebook,0
458,This is awesome,1
459,I love this app so much and thank you for being there for me,1
460,I'm using Infinix branded phone since january this year but Facebook got crushed after every week passing by. Fix the bug or I'll go out of Facebook forever. Mind it dear META.,-1
461,I love this app,1
462,Happy Facebook today in best link line,1
463,Why is it diffecult to get this Facebook an diffecult to get sms to code.,-1
464,Nice apo of Facebook.......,1
465,I don’t like all that music blasting out. I am hard of hearing so my volume has to be on high. I liked Facebook with no adds.,-1
466,Update: 30th May 2023 nothing has changed. Facebook is still anti Palestinians and Anti Muslims. 2021: Anti Palestinian & anti Muslims. Restricting our posts & comments about Israel's inhumane crimes in the name of community standards. You are accomplices in this & you take the blame too.,-1
467,Unable to login some apps & games with Facebook opens embanded website to login with Facebook,-1
468,"Facebook is toxic, gross and full of moms fighting lol",-1
469,Owwh,0
470,Since update things aren't working correctly.,-1
471,U cant describe this app . This app is amazing,1
472,"Notificatios don't update. Extremely frustrated with the constant suggested pages. It fills my newsfeed with s#!t!! And still too many weekly updates. Very annoying. Enough with the constant updates (rolls eyes). Ugh. If it ain't broke, stop repeatedly trying to fix it!!",-1
473,Every 3rd post is an ad now. Seems they are money hungry. Keep getting restrictions due to having real discussions that Facebook keeps misinterpreting as against community standards. Take a seat Zuckerberg and let the adults practice their 1st amendment. If someone has a problem with me they can report it. Stop auto flagging posts based on your trash algorithms.,-1
474,Good app,1
475,Nice 👍 app in the world,1
476,"Mostly family type content with nothing new and over time I have found this platform uninteresting. Tictoc on the other hand has self discovery, opening your mind up to new trains of thought. Also not much about religion but more about the universe and our time here is short when you consider that everlasting life isn't something that happens when you cross over. You are living your everlasting life now and have been through multiple lifetimes.",0
477,"God damnit! When I wanna read comments, if someone else replies, sometimes a lot at the same time, feed gets refreshed and make you be lost on comments... WTH devs! Easy fix, if you can't quit and let me do it ffs!",-1
478,Facebook is good app! this app has I old my memories in read 😁😁😎,1
479,Hi why do you have music on your platform I just got a copyright strike 😞,-1
480,18 plus live video don't show in Facebook,-1
481,Who doesn't enjoy Facebook ? I know I do and we know of a surety that we have an extra way of communicating with others no matter how close or far. Togetherness and we can dance.,1
482,"If this is PornHub, I'll rate it 5 but this is FACEBOOK! Whats up with the porns?",-1
483,"Cool, 😎😎",1
484,Frequent crashes whenever I play games through the app. Need to fix this as I enjoy playing games with my friends and use Facebook to stay in tough with family and friends.,-1
485,Good app,1
486,Facebooknotopen,-1
487,Hello Facebook have a good day I lost my on boarding stream ads please help me,0
488,Jo live sex video chalata ho bandh karu salo motherboard 🤬🤬😡😡🤬🤬🤬😡😤😡😤😡🤬😤😡😡😤😤😤😤😤🤬🤬😤😡😤🤬😤😡😤😡😤🤬😤😡😤😡😤🤬😤🤬😤😡😤😡😤,-1
489,Erghhhh!! I can't even delete my own comments on someone's post!,-1
490,"I was a FB community member since 2007. My phone was hacked. Because I could not access my phone after getting a new phone, I was locked out. I currently have 2 fb with similar names. It is a pain. Somehow I can't get my previous account back and fb keeps making a new profile. Ughhh. I miss all my pictures, Memories, and friends. I sent my ID and picture. I can still access my Instagram. It does not help me get back what I lost. 😔",-1
491,Why so hard to find my account.i forgot my password but when im click a forgot password no other way to find.and why need to password if i add the another contact number.,-1
492,Why seeing.. Please try later..,0
493,Cool 😎 🆒️,1
494,There is no media option in the navigation bar Even I check into settings but there is no any option like this,0
495,Good.appp,1
496,Why free facebook...,-1
497,My id Is disable in on any reason,-1
498,"Update the app so that when you use Facebook mobile, you can slide your picture from side to side. As it is right now, you can only slide the picture up and down and some of the picture gets covered up by the profile picture!",0
499,Cool,1
